path,participant_id,sequence_id,sign
train_landmark_files/22343/1004302418.parquet,22343,1004302418,sad
train_landmark_files/53618/1004317038.parquet,53618,1004317038,face
train_landmark_files/16069/100438640.parquet,16069,100438640,penny
train_landmark_files/27610/1004456612.parquet,27610,1004456612,mitten
train_landmark_files/26734/1004515043.parquet,26734,1004515043,go
train_landmark_files/30680/1004525587.parquet,30680,1004525587,gift
train_landmark_files/27610/1004578262.parquet,27610,1004578262,open
train_landmark_files/27610/1004604376.parquet,27610,1004604376,night
train_landmark_files/26734/100465528.parquet,26734,100465528,hair
train_landmark_files/49445/1004659234.parquet,49445,1004659234,who
train_landmark_files/37779/1004670955.parquet,37779,1004670955,think
train_landmark_files/30680/1004717211.parquet,30680,1004717211,snow
train_landmark_files/29302/100475774.parquet,29302,100475774,look
train_landmark_files/2044/1004782423.parquet,2044,1004782423,look
train_landmark_files/55372/1004789884.parquet,55372,1004789884,brown
train_landmark_files/2044/1004871290.parquet,2044,1004871290,mad
train_landmark_files/2044/1004940627.parquet,2044,1004940627,bed
train_landmark_files/28656/100496782.parquet,28656,100496782,cute
train_landmark_files/27610/100498908.parquet,27610,100498908,drink
train_landmark_files/16069/1005009451.parquet,16069,1005009451,stay
train_landmark_files/26734/1005029875.parquet,26734,1005029875,bug
train_landmark_files/49445/1005031823.parquet,49445,1005031823,flag
train_landmark_files/55372/1005052722.parquet,55372,1005052722,tooth
train_landmark_files/34503/1005088445.parquet,34503,1005088445,awake
train_landmark_files/30680/1005102931.parquet,30680,1005102931,thankyou
train_landmark_files/32319/100515039.parquet,32319,100515039,hot
train_landmark_files/25571/1005153432.parquet,25571,1005153432,brown
train_landmark_files/36257/1005189210.parquet,36257,1005189210,like
train_landmark_files/16069/1005223850.parquet,16069,1005223850,where
train_landmark_files/4718/1005394128.parquet,4718,1005394128,hesheit
train_landmark_files/36257/1005422610.parquet,36257,1005422610,potty
train_landmark_files/2044/1005467898.parquet,2044,1005467898,time
train_landmark_files/61333/1005476876.parquet,61333,1005476876,down
train_landmark_files/16069/1005492440.parquet,16069,1005492440,old
train_landmark_files/26734/1005584284.parquet,26734,1005584284,sick
train_landmark_files/2044/1005687002.parquet,2044,1005687002,stuck
train_landmark_files/37055/1005734995.parquet,37055,1005734995,no
train_landmark_files/61333/1005826772.parquet,61333,1005826772,head
train_landmark_files/22343/100585188.parquet,22343,100585188,down
train_landmark_files/32319/1005865446.parquet,32319,1005865446,orange
train_landmark_files/36257/1005866711.parquet,36257,1005866711,food
train_landmark_files/62590/1005973605.parquet,62590,1005973605,sad
train_landmark_files/25571/1005995721.parquet,25571,1005995721,hungry
train_landmark_files/16069/1006058791.parquet,16069,1006058791,apple
train_landmark_files/18796/1006073467.parquet,18796,1006073467,sick
train_landmark_files/18796/1006108133.parquet,18796,1006108133,morning
train_landmark_files/18796/1006174925.parquet,18796,1006174925,stay
train_landmark_files/37055/1006223282.parquet,37055,1006223282,pretty
train_landmark_files/26734/1006264561.parquet,26734,1006264561,owie
train_landmark_files/30680/1006302094.parquet,30680,1006302094,flag
train_landmark_files/55372/1006402771.parquet,55372,1006402771,nuts
train_landmark_files/49445/1006440534.parquet,49445,1006440534,face
train_landmark_files/16069/1006443357.parquet,16069,1006443357,animal
train_landmark_files/49445/1006462059.parquet,49445,1006462059,clean
train_landmark_files/53618/100646867.parquet,53618,100646867,finger
train_landmark_files/18796/1006488300.parquet,18796,1006488300,green
train_landmark_files/28656/1006548504.parquet,28656,1006548504,callonphone
train_landmark_files/34503/1006554061.parquet,34503,1006554061,say
train_landmark_files/37779/1006573792.parquet,37779,1006573792,frog
train_landmark_files/22343/1006584947.parquet,22343,1006584947,finish
train_landmark_files/49445/1006585242.parquet,49445,1006585242,owl
train_landmark_files/37055/1006625592.parquet,37055,1006625592,beside
train_landmark_files/4718/1006690809.parquet,4718,1006690809,bird
train_landmark_files/28656/1006698125.parquet,28656,1006698125,noisy
train_landmark_files/53618/1006736862.parquet,53618,1006736862,water
train_landmark_files/62590/1006742163.parquet,62590,1006742163,weus
train_landmark_files/22343/1006778422.parquet,22343,1006778422,happy
train_landmark_files/34503/1006899334.parquet,34503,1006899334,stuck
train_landmark_files/27610/1006973536.parquet,27610,1006973536,bug
train_landmark_files/36257/1007054441.parquet,36257,1007054441,say
train_landmark_files/16069/1007073382.parquet,16069,1007073382,sticky
train_landmark_files/16069/1007127288.parquet,16069,1007127288,owie
train_landmark_files/4718/1007273104.parquet,4718,1007273104,white
train_landmark_files/62590/100728423.parquet,62590,100728423,bye
train_landmark_files/61333/1007285542.parquet,61333,1007285542,high
train_landmark_files/55372/1007289801.parquet,55372,1007289801,fine
train_landmark_files/61333/1007294943.parquet,61333,1007294943,shirt
train_landmark_files/32319/1007313467.parquet,32319,1007313467,finish
train_landmark_files/16069/1007343357.parquet,16069,1007343357,boat
train_landmark_files/32319/1007376023.parquet,32319,1007376023,all
train_landmark_files/29302/1007439131.parquet,29302,1007439131,tiger
train_landmark_files/61333/1007466376.parquet,61333,1007466376,duck
train_landmark_files/36257/1007470312.parquet,36257,1007470312,pencil
train_landmark_files/16069/1007589714.parquet,16069,1007589714,sleepy
train_landmark_files/32319/1007595679.parquet,32319,1007595679,moon
train_landmark_files/37779/1007636570.parquet,37779,1007636570,tooth
train_landmark_files/27610/1007714989.parquet,27610,1007714989,puzzle
train_landmark_files/29302/1007771619.parquet,29302,1007771619,grandma
train_landmark_files/18796/1007844942.parquet,18796,1007844942,chocolate
train_landmark_files/61333/1007883975.parquet,61333,1007883975,alligator
train_landmark_files/62590/1007921043.parquet,62590,1007921043,not
train_landmark_files/29302/1007921584.parquet,29302,1007921584,haveto
train_landmark_files/30680/1007956977.parquet,30680,1007956977,down
train_landmark_files/37779/1007961507.parquet,37779,1007961507,cry
train_landmark_files/37055/1008067715.parquet,37055,1008067715,pretty
train_landmark_files/28656/1008105275.parquet,28656,1008105275,nuts
train_landmark_files/29302/10081088.parquet,29302,10081088,lips
train_landmark_files/16069/1008185618.parquet,16069,1008185618,down
train_landmark_files/55372/1008254374.parquet,55372,1008254374,jacket
train_landmark_files/30680/100828468.parquet,30680,100828468,radio
train_landmark_files/49445/1008318688.parquet,49445,1008318688,farm
train_landmark_files/18796/1008404042.parquet,18796,1008404042,bug
train_landmark_files/55372/1008408081.parquet,55372,1008408081,any
train_landmark_files/4718/1008483043.parquet,4718,1008483043,feet
train_landmark_files/34503/1008533792.parquet,34503,1008533792,zebra
train_landmark_files/2044/100856271.parquet,2044,100856271,giraffe
train_landmark_files/2044/1008623492.parquet,2044,1008623492,sleepy
train_landmark_files/32319/1008630948.parquet,32319,1008630948,rain
train_landmark_files/4718/1008708679.parquet,4718,1008708679,toy
train_landmark_files/25571/1008787040.parquet,25571,1008787040,cry
train_landmark_files/26734/1008843441.parquet,26734,1008843441,blow
train_landmark_files/55372/100885486.parquet,55372,100885486,fish
train_landmark_files/61333/1008866094.parquet,61333,1008866094,donkey
train_landmark_files/28656/1008868907.parquet,28656,1008868907,empty
train_landmark_files/30680/1008873903.parquet,30680,1008873903,bed
train_landmark_files/55372/1008888999.parquet,55372,1008888999,lion
train_landmark_files/4718/1008893190.parquet,4718,1008893190,dry
train_landmark_files/2044/1009015092.parquet,2044,1009015092,nap
train_landmark_files/61333/1009072101.parquet,61333,1009072101,pretty
train_landmark_files/37055/1009073883.parquet,37055,1009073883,no
train_landmark_files/28656/1009091529.parquet,28656,1009091529,sleep
train_landmark_files/28656/1009110105.parquet,28656,1009110105,yourself
train_landmark_files/27610/1009119274.parquet,27610,1009119274,gift
train_landmark_files/25571/1009169722.parquet,25571,1009169722,hot
train_landmark_files/22343/1009189193.parquet,22343,1009189193,drop
train_landmark_files/28656/1009252695.parquet,28656,1009252695,balloon
train_landmark_files/61333/1009257874.parquet,61333,1009257874,many
train_landmark_files/61333/1009349839.parquet,61333,1009349839,food
train_landmark_files/49445/1009402941.parquet,49445,1009402941,bath
train_landmark_files/4718/1009479323.parquet,4718,1009479323,wet
train_landmark_files/28656/1009548198.parquet,28656,1009548198,lips
train_landmark_files/2044/1009580605.parquet,2044,1009580605,dry
train_landmark_files/16069/1009615872.parquet,16069,1009615872,aunt
train_landmark_files/22343/1009635727.parquet,22343,1009635727,drop
train_landmark_files/37779/1009663684.parquet,37779,1009663684,time
train_landmark_files/37055/1009680251.parquet,37055,1009680251,sticky
train_landmark_files/18796/1009688574.parquet,18796,1009688574,tiger
train_landmark_files/26734/1009709200.parquet,26734,1009709200,weus
train_landmark_files/22343/1009802736.parquet,22343,1009802736,TV
train_landmark_files/22343/1009896983.parquet,22343,1009896983,not
train_landmark_files/37055/1009934063.parquet,37055,1009934063,sleep
train_landmark_files/16069/1010007890.parquet,16069,1010007890,boat
train_landmark_files/25571/1010052861.parquet,25571,1010052861,will
train_landmark_files/36257/1010097914.parquet,36257,1010097914,hate
train_landmark_files/36257/1010156369.parquet,36257,1010156369,empty
train_landmark_files/26734/101019962.parquet,26734,101019962,tooth
train_landmark_files/53618/1010235832.parquet,53618,1010235832,on
train_landmark_files/30680/1010436789.parquet,30680,1010436789,frenchfries
train_landmark_files/26734/1010447253.parquet,26734,1010447253,pretend
train_landmark_files/25571/1010464507.parquet,25571,1010464507,kitty
train_landmark_files/62590/1010528266.parquet,62590,1010528266,fine
train_landmark_files/2044/1010536015.parquet,2044,1010536015,jump
train_landmark_files/16069/1010611404.parquet,16069,1010611404,bug
train_landmark_files/62590/1010691183.parquet,62590,1010691183,fireman
train_landmark_files/55372/1010756359.parquet,55372,1010756359,before
train_landmark_files/27610/1010770134.parquet,27610,1010770134,doll
train_landmark_files/49445/1010783758.parquet,49445,1010783758,feet
train_landmark_files/30680/1010863103.parquet,30680,1010863103,water
train_landmark_files/36257/1010879863.parquet,36257,1010879863,stairs
train_landmark_files/4718/1010899155.parquet,4718,1010899155,puzzle
train_landmark_files/22343/1010997099.parquet,22343,1010997099,go
train_landmark_files/2044/1011023647.parquet,2044,1011023647,yellow
train_landmark_files/53618/1011073692.parquet,53618,1011073692,hair
train_landmark_files/36257/1011089379.parquet,36257,1011089379,kiss
train_landmark_files/28656/1011131843.parquet,28656,1011131843,not
train_landmark_files/16069/1011172246.parquet,16069,1011172246,drawer
train_landmark_files/61333/1011181704.parquet,61333,1011181704,bee
train_landmark_files/55372/1011293231.parquet,55372,1011293231,loud
train_landmark_files/29302/1011337843.parquet,29302,1011337843,hen
train_landmark_files/37055/1011397240.parquet,37055,1011397240,listen
train_landmark_files/36257/1011428571.parquet,36257,1011428571,give
train_landmark_files/37055/1011439533.parquet,37055,1011439533,old
train_landmark_files/62590/1011551679.parquet,62590,1011551679,wolf
train_landmark_files/37055/1011584461.parquet,37055,1011584461,owie
train_landmark_files/27610/101159897.parquet,27610,101159897,old
train_landmark_files/16069/1011655866.parquet,16069,1011655866,face
train_landmark_files/32319/1011764636.parquet,32319,1011764636,dad
train_landmark_files/18796/1011866732.parquet,18796,1011866732,grandma
train_landmark_files/37055/1011888729.parquet,37055,1011888729,happy
train_landmark_files/34503/1011932931.parquet,34503,1011932931,gum
train_landmark_files/49445/1011951727.parquet,49445,1011951727,hear
train_landmark_files/28656/1012007761.parquet,28656,1012007761,no
train_landmark_files/16069/1012070725.parquet,16069,1012070725,can
train_landmark_files/18796/1012095402.parquet,18796,1012095402,chocolate
train_landmark_files/61333/1012128245.parquet,61333,1012128245,refrigerator
train_landmark_files/34503/1012332717.parquet,34503,1012332717,now
train_landmark_files/37055/1012399145.parquet,37055,1012399145,outside
train_landmark_files/37779/1012413496.parquet,37779,1012413496,sad
train_landmark_files/28656/1012436204.parquet,28656,1012436204,cut
train_landmark_files/62590/101254820.parquet,62590,101254820,donkey
train_landmark_files/53618/1012549254.parquet,53618,1012549254,will
train_landmark_files/22343/1012561303.parquet,22343,1012561303,all
train_landmark_files/34503/1012598310.parquet,34503,1012598310,underwear
train_landmark_files/27610/1012711038.parquet,27610,1012711038,on
train_landmark_files/26734/1012730846.parquet,26734,1012730846,please
train_landmark_files/28656/1012790943.parquet,28656,1012790943,child
train_landmark_files/32319/1012792793.parquet,32319,1012792793,smile
train_landmark_files/55372/1012855793.parquet,55372,1012855793,see
train_landmark_files/18796/1012858295.parquet,18796,1012858295,pencil
train_landmark_files/36257/1012920213.parquet,36257,1012920213,pen
train_landmark_files/18796/101294429.parquet,18796,101294429,yesterday
train_landmark_files/32319/1012950600.parquet,32319,1012950600,sad
train_landmark_files/62590/1013049724.parquet,62590,1013049724,scissors
train_landmark_files/16069/1013086398.parquet,16069,1013086398,any
train_landmark_files/62590/1013089308.parquet,62590,1013089308,pretend
train_landmark_files/62590/1013176670.parquet,62590,1013176670,sick
train_landmark_files/29302/1013221310.parquet,29302,1013221310,child
train_landmark_files/34503/1013245879.parquet,34503,1013245879,first
train_landmark_files/28656/1013307113.parquet,28656,1013307113,pen
train_landmark_files/18796/1013323013.parquet,18796,1013323013,duck
train_landmark_files/62590/1013326498.parquet,62590,1013326498,horse
train_landmark_files/55372/1013367191.parquet,55372,1013367191,donkey
train_landmark_files/4718/1013423308.parquet,4718,1013423308,closet
train_landmark_files/36257/1013495928.parquet,36257,1013495928,pig
train_landmark_files/22343/1013540347.parquet,22343,1013540347,loud
train_landmark_files/25571/1013541116.parquet,25571,1013541116,bed
train_landmark_files/37779/1013580084.parquet,37779,1013580084,loud
train_landmark_files/16069/1013591180.parquet,16069,1013591180,table
train_landmark_files/37779/1013612636.parquet,37779,1013612636,orange
train_landmark_files/55372/1013626252.parquet,55372,1013626252,eye
train_landmark_files/53618/1013644801.parquet,53618,1013644801,snack
train_landmark_files/27610/1013671116.parquet,27610,1013671116,story
train_landmark_files/22343/1013684724.parquet,22343,1013684724,aunt
train_landmark_files/18796/1013692040.parquet,18796,1013692040,before
train_landmark_files/49445/1013743455.parquet,49445,1013743455,police
train_landmark_files/53618/1013743606.parquet,53618,1013743606,zebra
train_landmark_files/18796/1013799623.parquet,18796,1013799623,arm
train_landmark_files/37779/1013826473.parquet,37779,1013826473,face
train_landmark_files/55372/1013853098.parquet,55372,1013853098,talk
train_landmark_files/34503/1013862460.parquet,34503,1013862460,head
train_landmark_files/16069/1013865959.parquet,16069,1013865959,grandpa
train_landmark_files/4718/1013877443.parquet,4718,1013877443,radio
train_landmark_files/53618/1013935760.parquet,53618,1013935760,child
train_landmark_files/29302/1013950926.parquet,29302,1013950926,now
train_landmark_files/36257/1013992984.parquet,36257,1013992984,empty
train_landmark_files/30680/1014054229.parquet,30680,1014054229,like
train_landmark_files/22343/1014090586.parquet,22343,1014090586,finish
train_landmark_files/34503/1014113250.parquet,34503,1014113250,give
train_landmark_files/53618/1014155374.parquet,53618,1014155374,bug
train_landmark_files/4718/1014158300.parquet,4718,1014158300,tongue
train_landmark_files/16069/1014165416.parquet,16069,1014165416,morning
train_landmark_files/2044/1014218227.parquet,2044,1014218227,toy
train_landmark_files/53618/1014231677.parquet,53618,1014231677,wake
train_landmark_files/62590/1014309332.parquet,62590,1014309332,pool
train_landmark_files/2044/1014380301.parquet,2044,1014380301,doll
train_landmark_files/62590/1014384002.parquet,62590,1014384002,fall
train_landmark_files/32319/1014406304.parquet,32319,1014406304,vacuum
train_landmark_files/34503/1014407590.parquet,34503,1014407590,snack
train_landmark_files/2044/1014413603.parquet,2044,1014413603,potty
train_landmark_files/36257/1014444319.parquet,36257,1014444319,noisy
train_landmark_files/32319/1014492439.parquet,32319,1014492439,kiss
train_landmark_files/61333/1014607730.parquet,61333,1014607730,girl
train_landmark_files/22343/1014701040.parquet,22343,1014701040,frenchfries
train_landmark_files/36257/1014726001.parquet,36257,1014726001,down
train_landmark_files/53618/101474393.parquet,53618,101474393,pencil
train_landmark_files/49445/1014762780.parquet,49445,1014762780,up
train_landmark_files/62590/101481172.parquet,62590,101481172,kitty
train_landmark_files/61333/1014819003.parquet,61333,1014819003,sleep
train_landmark_files/29302/1014838286.parquet,29302,1014838286,pretty
train_landmark_files/55372/1014894603.parquet,55372,1014894603,better
train_landmark_files/61333/1014909824.parquet,61333,1014909824,night
train_landmark_files/27610/1015001652.parquet,27610,1015001652,tree
train_landmark_files/26734/1015074417.parquet,26734,1015074417,duck
train_landmark_files/36257/1015121761.parquet,36257,1015121761,same
train_landmark_files/36257/1015213362.parquet,36257,1015213362,dance
train_landmark_files/29302/1015218913.parquet,29302,1015218913,close
train_landmark_files/36257/1015291697.parquet,36257,1015291697,smile
train_landmark_files/37055/1015310004.parquet,37055,1015310004,grandma
train_landmark_files/4718/1015341138.parquet,4718,1015341138,arm
train_landmark_files/29302/101535055.parquet,29302,101535055,gift
train_landmark_files/25571/1015365954.parquet,25571,1015365954,many
train_landmark_files/37055/1015378275.parquet,37055,1015378275,white
train_landmark_files/16069/1015381165.parquet,16069,1015381165,hot
train_landmark_files/62590/1015438209.parquet,62590,1015438209,taste
train_landmark_files/34503/1015524947.parquet,34503,1015524947,hesheit
train_landmark_files/49445/1015554989.parquet,49445,1015554989,stairs
train_landmark_files/34503/1015703209.parquet,34503,1015703209,sun
train_landmark_files/25571/1015836290.parquet,25571,1015836290,yourself
train_landmark_files/27610/1015872038.parquet,27610,1015872038,any
train_landmark_files/18796/1015898752.parquet,18796,1015898752,chin
train_landmark_files/36257/1015971577.parquet,36257,1015971577,penny
train_landmark_files/49445/101597212.parquet,49445,101597212,callonphone
train_landmark_files/34503/1015991015.parquet,34503,1015991015,ride
train_landmark_files/61333/1016094606.parquet,61333,1016094606,kiss
train_landmark_files/36257/1016095044.parquet,36257,1016095044,because
train_landmark_files/61333/101609823.parquet,61333,101609823,night
train_landmark_files/36257/101610040.parquet,36257,101610040,moon
train_landmark_files/2044/1016122489.parquet,2044,1016122489,snack
train_landmark_files/36257/1016131365.parquet,36257,1016131365,if
train_landmark_files/61333/1016178453.parquet,61333,1016178453,mad
train_landmark_files/53618/1016188683.parquet,53618,1016188683,because
train_landmark_files/22343/101620264.parquet,22343,101620264,yesterday
train_landmark_files/27610/1016231410.parquet,27610,1016231410,apple
train_landmark_files/32319/1016337310.parquet,32319,1016337310,apple
train_landmark_files/22343/1016351470.parquet,22343,1016351470,better
train_landmark_files/26734/1016357067.parquet,26734,1016357067,first
train_landmark_files/34503/1016391462.parquet,34503,1016391462,pool
train_landmark_files/2044/101647228.parquet,2044,101647228,cat
train_landmark_files/4718/101652313.parquet,4718,101652313,potty
train_landmark_files/62590/101661345.parquet,62590,101661345,why
train_landmark_files/28656/1016658799.parquet,28656,1016658799,head
train_landmark_files/53618/1016693705.parquet,53618,1016693705,potty
train_landmark_files/32319/1016715012.parquet,32319,1016715012,like
train_landmark_files/28656/1016730489.parquet,28656,1016730489,brother
train_landmark_files/27610/1016834986.parquet,27610,1016834986,thankyou
train_landmark_files/37779/1016844567.parquet,37779,1016844567,pool
train_landmark_files/16069/1016860110.parquet,16069,1016860110,carrot
train_landmark_files/53618/1016885494.parquet,53618,1016885494,where
train_landmark_files/36257/1016946023.parquet,36257,1016946023,dog
train_landmark_files/55372/101697989.parquet,55372,101697989,listen
train_landmark_files/18796/1017029978.parquet,18796,1017029978,shhh
train_landmark_files/53618/1017084612.parquet,53618,1017084612,closet
train_landmark_files/32319/1017105712.parquet,32319,1017105712,mouse
train_landmark_files/28656/101711203.parquet,28656,101711203,drink
train_landmark_files/28656/1017166074.parquet,28656,1017166074,apple
train_landmark_files/27610/1017341203.parquet,27610,1017341203,dance
train_landmark_files/29302/1017350755.parquet,29302,1017350755,scissors
train_landmark_files/30680/1017428007.parquet,30680,1017428007,animal
train_landmark_files/49445/1017502021.parquet,49445,1017502021,beside
train_landmark_files/62590/1017601410.parquet,62590,1017601410,gum
train_landmark_files/25571/1017647108.parquet,25571,1017647108,wait
train_landmark_files/61333/1017658305.parquet,61333,1017658305,any
train_landmark_files/49445/1017741837.parquet,49445,1017741837,shoe
train_landmark_files/18796/1017765987.parquet,18796,1017765987,better
train_landmark_files/37055/1017786464.parquet,37055,1017786464,like
train_landmark_files/18796/1017846424.parquet,18796,1017846424,doll
train_landmark_files/37055/1017929124.parquet,37055,1017929124,head
train_landmark_files/16069/1017994904.parquet,16069,1017994904,food
train_landmark_files/53618/1018058233.parquet,53618,1018058233,sleep
train_landmark_files/36257/1018108815.parquet,36257,1018108815,jeans
train_landmark_files/26734/1018275085.parquet,26734,1018275085,go
train_landmark_files/28656/1018347883.parquet,28656,1018347883,head
train_landmark_files/53618/1018357229.parquet,53618,1018357229,shower
train_landmark_files/29302/1018515735.parquet,29302,1018515735,another
train_landmark_files/55372/1018546863.parquet,55372,1018546863,callonphone
train_landmark_files/61333/101857536.parquet,61333,101857536,face
train_landmark_files/37055/1018622731.parquet,37055,1018622731,where
train_landmark_files/16069/1018622870.parquet,16069,1018622870,owie
train_landmark_files/36257/1018632617.parquet,36257,1018632617,police
train_landmark_files/61333/1018651515.parquet,61333,1018651515,nap
train_landmark_files/4718/101865528.parquet,4718,101865528,child
train_landmark_files/30680/1018737451.parquet,30680,1018737451,sun
train_landmark_files/32319/1018744120.parquet,32319,1018744120,pen
train_landmark_files/49445/1019060027.parquet,49445,1019060027,later
